pacto,comuna,votos
Lista del apruebo,LA SERENA,9935
Nueva Constitucion,LA SERENA,2146
Otros,LA SERENA,9861
Vamos por Chile,LA SERENA,11829
Apruebo Dignidad,LA UNION,9066
Del pueblo,LA UNION,1220
Lista del apruebo,LA UNION,10371
Otros,LA UNION,16326
Vamos por Chile,LA UNION,11680
Apruebo Dignidad,LAGO RANCO,235
Del pueblo,LAGO RANCO,283
Lista del apruebo,LAGO RANCO,442
Nueva Constitucion,LAGO RANCO,213
Otros,LAGO RANCO,465
Vamos por Chile,LAGO RANCO,750
Apruebo Dignidad,LAGO VERDE,75
Del pueblo,LAGO VERDE,117
Lista del apruebo,LAGO VERDE,118
Otros,LAGO VERDE,56
Vamos por Chile,LAGO VERDE,205
Apruebo Dignidad,LAGUNA BLANCA,32
Lista del apruebo,LAGUNA BLANCA,54
Nueva Constitucion,LAGUNA BLANCA,34
Otros,LAGUNA BLANCA,117
Vamos por Chile,LAGUNA BLANCA,104
Apruebo Dignidad,LAJA,1047
Lista del apruebo,LAJA,1418
Nueva Constitucion,LAJA,2079
Otros,LAJA,2357
Vamos por Chile,LAJA,1254
Apruebo Dignidad,LAMPA,7775
Del pueblo,LAMPA,4612
Lista del apruebo,LAMPA,3122
Otros,LAMPA,5303
Vamos por Chile,LAMPA,4247
Apruebo Dignidad,LANCO,365
Del pueblo,LANCO,493
Lista del apruebo,LANCO,1360
